date,efficiency,startTime,endTime,timeInBed,minutesAsleep
2019-05-28,94,2019-05-28T00:03:00.000,2019-05-28T08:01:30.000,478,448
2019-05-30,91,2019-05-30T00:00:30.000,2019-05-30T08:35:30.000,515,468
2019-05-31,88,2019-05-31T00:16:00.000,2019-05-31T08:35:30.000,499,435
2019-06-01,89,2019-05-31T23:41:00.000,2019-06-01T08:30:30.000,529,470
2019-06-02,89,2019-06-02T01:19:00.000,2019-06-02T09:02:30.000,463,412
2019-06-03,91,2019-06-03T00:37:00.000,2019-06-03T09:02:30.000,505,461
2019-06-04,90,2019-06-03T23:40:00.000,2019-06-04T09:35:00.000,595,532
2019-06-05,95,2019-06-05T01:34:30.000,2019-06-05T09:04:00.000,449,426
2019-06-06,93,2019-06-06T00:36:00.000,2019-06-06T09:19:00.000,523,488
2019-06-07,92,2019-06-07T00:40:00.000,2019-06-07T09:25:00.000,525,480
2019-06-08,89,2019-06-08T01:10:30.000,2019-06-08T09:26:30.000,496,440
2019-06-09,91,2019-06-09T00:59:00.000,2019-06-09T09:07:00.000,488,442
2019-06-10,94,2019-06-10T01:33:30.000,2019-06-10T08:56:30.000,443,418
2019-06-11,88,2019-06-11T02:15:30.000,2019-06-11T09:17:00.000,421,367
2019-06-12,90,2019-06-12T00:51:30.000,2019-06-12T09:38:30.000,527,473
2019-06-13,90,2019-06-13T00:29:00.000,2019-06-13T06:53:00.000,384,347
2019-06-14,93,2019-06-14T02:19:30.000,2019-06-14T10:33:30.000,494,459
2019-06-15,95,2019-06-15T01:40:30.000,2019-06-15T08:54:30.000,434,412
2019-06-16,96,2019-06-16T01:50:30.000,2019-06-16T09:11:00.000,440,422
2019-06-17,93,2019-06-17T01:16:00.000,2019-06-17T07:09:00.000,353,330
2019-06-18,95,2019-06-18T00:34:00.000,2019-06-18T09:55:30.000,561,534
2019-06-19,90,2019-06-19T00:45:30.000,2019-06-19T09:56:00.000,550,493
2019-06-20,92,2019-06-20T01:34:30.000,2019-06-20T08:59:00.000,444,407
2019-06-21,90,2019-06-21T02:29:00.000,2019-06-21T09:25:30.000,416,373
2019-06-22,92,2019-06-22T01:12:00.000,2019-06-22T09:34:30.000,502,463
2019-06-23,93,2019-06-23T01:50:00.000,2019-06-23T09:15:00.000,445,410
2019-06-24,94,2019-06-24T02:34:30.000,2019-06-24T09:43:30.000,429,403
2019-06-25,94,2019-06-25T00:59:00.000,2019-06-25T08:28:00.000,449,420
2019-06-26,95,2019-06-26T00:44:00.000,2019-06-26T08:57:00.000,493,465
2019-06-27,93,2019-06-27T00:53:00.000,2019-06-27T08:43:30.000,470,439
2019-06-29,91,2019-06-28T22:37:00.000,2019-06-29T08:34:30.000,597,546
2019-06-30,90,2019-06-30T00:18:30.000,2019-06-30T09:12:00.000,533,480
2019-07-01,93,2019-07-01T01:55:00.000,2019-07-01T08:19:30.000,384,357
2019-07-02,91,2019-07-01T23:50:30.000,2019-07-02T09:10:00.000,559,507
2019-07-03,92,2019-07-02T23:18:30.000,2019-07-03T03:14:30.000,236,217
2019-07-04,95,2019-07-04T12:36:30.000,2019-07-04T16:03:00.000,206,196
2019-07-05,93,2019-07-05T01:57:30.000,2019-07-05T09:38:00.000,460,427
2019-07-06,96,2019-07-06T01:57:00.000,2019-07-06T07:35:00.000,338,324
2019-07-07,98,2019-07-07T00:13:30.000,2019-07-07T05:31:30.000,318,311
2019-07-08,93,2019-07-08T03:13:00.000,2019-07-08T11:06:00.000,473,438
2019-07-09,96,2019-07-09T01:14:30.000,2019-07-09T04:59:00.000,224,214
2019-07-10,96,2019-07-10T02:38:30.000,2019-07-10T12:37:30.000,599,575
2019-07-11,97,2019-07-11T02:46:30.000,2019-07-11T10:51:30.000,485,465
2019-07-12,90,2019-07-12T12:04:00.000,2019-07-12T15:22:30.000,198,179
2019-07-13,96,2019-07-13T03:33:00.000,2019-07-13T11:36:00.000,483,458
2019-07-14,96,2019-07-14T02:46:00.000,2019-07-14T11:58:00.000,552,528
2019-07-15,94,2019-07-15T01:28:00.000,2019-07-15T09:10:30.000,462,436
2019-07-17,93,2019-07-17T02:06:30.000,2019-07-17T09:00:30.000,414,385
2019-07-18,95,2019-07-18T00:19:00.000,2019-07-18T07:39:30.000,440,417
2019-07-19,91,2019-07-19T02:02:30.000,2019-07-19T09:27:30.000,445,405
2019-07-20,95,2019-07-20T02:58:00.000,2019-07-20T10:29:30.000,451,427
2019-07-21,91,2019-07-21T00:28:00.000,2019-07-21T07:00:00.000,392,358
2019-07-22,90,2019-07-22T00:44:30.000,2019-07-22T10:53:30.000,609,547
2019-07-23,90,2019-07-23T01:55:00.000,2019-07-23T10:43:30.000,528,476
2019-07-24,91,2019-07-24T01:13:30.000,2019-07-24T09:22:30.000,489,444
2019-07-25,90,2019-07-25T00:41:00.000,2019-07-25T08:04:00.000,443,399
